school_name,address,phone,email,source_url
Jungchul Junior Language Institute Sacheon,"Geumgangsan 3F, 18 Donggye-gil, Jeongdong-myeon, Sacheon, Gyeongsangnam-do, South Korea",,,https://www.theworknplay.com/Work/JungchulJuniorLanguageInstituteSacheon
Mendel Schola Academy,"23-5 Nonhyeon-dong, Gangnam District, Seoul, South Korea",,,https://www.theworknplay.com/Work/MendelScholaAcademy
Poly Sungdong,"1F - 2F, Yaksu Building, 162, Dasan-ro, Jung-gu, Seoul, Republic of Korea",,,https://www.theworknplay.com/Work/PolySungdong11
Poly Songpa,"4F - 6F, 233 Ogeum-ro, Songpa-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/PolySongpa11
Creverse April Incheon Namdong,"3F, 85 Nongogae-ro, Namdong-gu, Incheon, South Korea",,,https://www.theworknplay.com/Work/CreverseAprilIncheonNamdong1
Cambridge English Academy,"46 Yulha-ri, Jangyu-myeon, Gimhae-si, Gyeongsangnam-do, South Korea",,,https://www.theworknplay.com/Work/CambridgeEnglishAcademy
AMJ Academy,"2nd floor, Jena Plaza,, 15 Jeongjail-ro 198(baekgusippal), Bundang-gu, Seongnam, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/AMJAcademy11
Creverse April Bundang Imae,"4F, 474 Pangyo-ro, Bundang-gu, Seongnam-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/CreverseAprilBundangImae
Embark Recruiting : TheWorknPlay,,,,https://www.theworknplay.com/Work/EmbarkRecruiting
WizIsland Cheonan,"4F, Yu-gang Metro Building, 82 Bongseosan-ro, Seobuk-gu, Cheonan, Chungcheongnam-do, South Korea",,,https://www.theworknplay.com/Work/WizIslandCheonan
Speaking Proficiency Enhancement Program,"Shinwon B/D, 861, Eonju-ro, Gangnam-gu, Seoul, Korea",,,https://www.theworknplay.com/Work/SpeakingProficiencyEnhancementProgram
Francis Parker Collegiate Hanam,"5F, 141-6 Pungsan-dong, Hanam-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/FrancisParkerCollegiateHanam
Creverse April Busan Dongnae,"3F, 20 Oncheonjang-ro, Dongnae-gu, Busan, South Korea",,,https://www.theworknplay.com/Work/CreverseAprilBusanDongnae
Speaking Proficiency Enhancement Program,"Shinwon B/D, 861, Eonju-ro, Gangnam-gu, Seoul, Korea",,,https://www.theworknplay.com/Work/SpeakingProficiencyEnhancementProgram
,"98 Jong-ro, Jongno-gu, Seoul, South Korea",,,https://www.theworknplay.com/Work/YBMNETCorporateDivision3
Poly Wonju,"5F, South Korea, Gangwon-do, Wonju-si, 능라동길 74",,,https://www.theworknplay.com/Work/PolyWonju11
Poly Changwon Masan,"#1201, 12F, Metro Sanctum Building, 130 Yongma-ro, Masanhoewon-gu, Changwon-si, Gyeongsangnam-do, Republic of Korea",,,https://www.theworknplay.com/Work/PolyChangwonMasan
SLP Anyang,"5F - 6F, 181 Gwanak-daero, Dongan-gu, Anyang-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/SLPAnyang
YBM ECC Mokdong,"3F, Mokdong Harvard Building, 20 Mokdongdong-ro 12-gil, Yangcheon District, Seoul, South Korea",,,https://www.theworknplay.com/Work/YBMECCMokdong
Creverse April Ilsan Hwajeong,"2F, 14 Seongsin-ro, Deogyang-gu, Goyang-si, Gyeonggi-do, South Korea",,,https://www.theworknplay.com/Work/CreverseAprilIlsanHwajeong
